Year,Country_Vehicle,value
2007,AT_TRN,10.1
2007,BE_BUS,14.3
2007,BE_CAR,79.1
2007,BE_TRN,6.6
2007,CH_BUS,5.5
2007,CH_CAR,77.4
2007,CH_TRN,17.0
2007,DE_BUS,6.5
2007,DE_CAR,85.7
2007,DE_TRN,7.8
2007,DK_BUS,9.7
2007,DK_CAR,82.0
2007,DK_TRN,8.3
2007,EL_BUS,18.5
2007,EL_CAR,79.9
2007,EL_TRN,1.6
2007,ES_BUS,14.0
2007,ES_CAR,81.0
2007,ES_TRN,5.0
2007,FI_BUS,10.0
2007,FI_CAR,84.9
2007,FI_TRN,5.0
2007,FR_BUS,5.5
2007,FR_CAR,84.9
2007,FR_TRN,9.6
2007,HU_BUS,21.1
2007,HU_CAR,67.9
2007,HU_TRN,11.0
2007,IE_BUS,14.2
2007,IE_CAR,82.3
2007,IE_TRN,3.4
2007,IT_BUS,12.4
2007,IT_CAR,81.6
2007,IT_TRN,6.0
2007,LU_BUS,11.1
2007,LU_CAR,84.9
2007,LU_TRN,4.1
2007,NL_BUS,2.9
2007,NL_CAR,87.5
2007,NL_TRN,9.6
2007,PL_BUS,13.1
2007,PL_CAR,77.6
2007,PL_TRN,9.3
2007,PT_BUS,6.5
2007,PT_CAR,89.4
2007,PT_TRN,4.1
2007,SE_BUS,7.4
2007,SE_CAR,83.9
2007,SE_TRN,8.7
2007,SI_BUS,11.4
2007,SI_CAR,86.0
2007,SI_TRN,2.6
2008,AT_BUS,10.0
2008,AT_CAR,78.8
2008,AT_TRN,11.1
2008,BE_BUS,14.4
2008,BE_CAR,78.4
2008,BE_TRN,7.2
2008,CH_BUS,5.2
2008,CH_CAR,77.8
2008,CH_TRN,17.1
2008,DE_BUS,6.3
2008,DE_CAR,85.6
2008,DE_TRN,8.1
2008,DK_BUS,9.7
2008,DK_CAR,81.9
2008,DK_TRN,8.4
2008,EL_BUS,17.9
2008,EL_CAR,80.8
2008,EL_TRN,1.3
2008,ES_BUS,14.3
2008,ES_CAR,80.3
